"Loc","Loc Zn","Loc Name","Loc Purp Desc","Loc/QTI","Flow Ind","DC","OPC","TSQ","OAC","IT","Auth Overrun Ind","Nom Cap Exceed Ind","All Qty Avail","Qty Reason"
"100800","WEST TEXAS"," ET Genco Fuel","MQ","DPQ","D","3880","3880","1800","2080","N","N","N","Y",""
"100734","WEST TEXAS","3 BEAR LEA","M2","RPQ","R","55000","60000","41202","18798","Y","N","N","Y",""
"28786","PANHANDLE","ADOBE OWENS CORNING","MQ","DPQ","D","13000","13000","6000","7000","N","N","N","Y",""
"79049","PANHANDLE","ATMOS AIRPORT I/C","MQ","DPQ","D","250","250","1","249","N","N","N","Y",""
"79052","PANHANDLE","ATMOS CANYON WEST I/C","MQ","DPQ","D","3000","3000","1100","1900","N","N","N","Y",""
"79058","PANHANDLE","ATMOS PAMPA NORTH","MQ","DPQ","D","15600","15600","2700","12900","N","N","N","Y",""
"57245","WEST TEXAS","ATMOS PIPELINE  WARD","M2","RPQ","R","85000","85000","40000","45000","N","N","N","Y",""
"78474","PANHANDLE","ATMOS RANDALL COUNTY","MQ","DPQ","D","120000","120000","14088","105912","N","N","N","Y",""
"100732","PHOENIX","Arlington Valley Plant","MQ","DPQ","D","250000","250000","24736","225264","Y","N","N","Y",""
"500536","SAN JUAN2","BP FLORIDA PLANT I/C","M2","RPQ","R","360000","360000","66019","293981","Y","N","N","Y",""
"78424","SAN JUAN","CONOCO BLANCO PLANT I/C","M2","RPQ","R","550000","550000","65000","485000","Y","N","N","Y",""
"56339","CENTRAL","DAGGER DRAW","M2","RPQ","R","55000","56000","46028","9972","N","N","N","Y",""
"78477","PANHANDLE","DAIRICONCEPTS - ROOSEVELT","MQ","DPQ","D","6000","6000","2250","3750","N","N","N","Y",""
"10703","CENTRAL","DCP Artesia","M2","RPQ","R","43000","38000","30800","7200","Y","N","N","Y",""
"79069","CENTRAL","DCP ZIA II","M2","RPQ","R","125000","125000","43576","81424","Y","N","N","Y",""
"13199","CENTRAL","EASTERN NEW MEXICO ROOSEVELT","MQ","DPQ","D","10000","10000","402","9598","N","N","N","Y",""
"500540","SAN JUAN2","EL PASO BLANCO I/C","MQ","DPQ","D","440000","440000","98980","341020","Y","N","N","Y",""
"57336","PANHANDLE","ENERGAS DEL-GRAY","MQ","DPQ","D","50000","10000","293","9707","Y","N","N","Y",""
"53772","PANHANDLE","ENERGAS INTERCONNECT (STOCKER M M)","MQ","DPQ","D","500","500","2","498","N","N","N","Y",""
"78423","SAN JUAN","ENTERPRISE CHACO PLANT I/C","M2","RPQ","R","250000","210000","59107","150893","Y","N","N","Y",""
"79075","WEST TEXAS","ENTERPRISE SOUTH EDDY","M2","RPQ","R","200000","200000","64778","135222","Y","N","N","Y",""
"500515","WEST TEXAS","ENTERPRISE WAHA PECOS","MQ","DPQ","D","180000","180000","13951","166049","N","N","N","Y",""
"500515","WEST TEXAS","ENTERPRISE WAHA PECOS","M2","RPQ","R","150000","150000","23779","126221","Y","N","N","Y",""
"56943","WEST TEXAS","ENTERPRISE WARD","MQ","DPQ","D","155000","155000","25335","129665","N","N","N","Y",""
"79063","WEST TEXAS","EOG PITCHFORK-DELIVERY","MQ","DPQ","D","10000","13500","12000","1500","N","N","N","Y",""
"79072","WEST TEXAS","EOG RATTLESNAKE","MQ","DPQ","D","11720","13000","12000","1000","N","N","N","Y",""
"100757","WEST TEXAS","EOG Red Hills","MQ","DPQ","D","55000","55000","46000","9000","Y","N","N","Y",""
"78269","WEST TEXAS","ETC BLK #16 FUEL","MQ","DPQ","D","1000","2000","1","1999","N","N","N","Y",""
"79087","WEST TEXAS","ETC HALLEY","M2","RPQ","R","90000","90000","60000","30000","Y","N","N","Y",""
"100704","PANHANDLE","ETC ISAAC FUEL","MQ","DPQ","D","2000","2000","147","1853","N","N","N","Y",""
"100701","WEST TEXAS","ETC PYOTE FUEL","MQ","DPQ","D","2000","2000","400","1600","N","N","N","Y",""
"500607","WEST TEXAS","ETC PYOTE STATION  145","MQ","DPQ","D","1000","1000","400","600","N","N","N","Y",""
"100705","WEST TEXAS","ETC RED HILLS FUEL","MQ","DPQ","D","8000","5000","4100","900","N","N","N","Y",""
"500392","WEST TEXAS","ETC WAHA FUEL (COMP 765)","MQ","DPQ","D","270","3000","1","2999","N","N","N","Y",""
"500134","W. THOREAU","FLAGSTAFF DELIVERY POINT","MQ","DPQ","D","31000","31000","8330","22670","N","N","N","Y",""
"10552","CENTRAL","FRONTIER MALJAMAR PLANT","M2","RPQ","R","75000","75000","24837","50163","N","N","N","Y",""
"78480","PHOENIX","GILA RIVER PLANT","MQ","DPQ","D","485000","485000","105115","379885","N","N","N","Y",""
"78489","PHOENIX","GRAND AVENUE DELIVERY","MQ","DPQ","D","35000","43800","14174","29626","N","N","N","Y",""
"78069","W. THOREAU","GRIFFITH ENERGY DEL","MQ","DPQ","D","120000","120000","40626","79374","N","N","N","Y",""
"13315","PANHANDLE","H SIMONS #1","MQ","DPQ","D","3000","3000","25","2975","N","N","N","Y",""
"58444","PANHANDLE","I.S.I. FARM TAP-PARMER","MQ","DPQ","D","5000","11000","2400","8600","N","N","N","Y",""
"500239","CENTRAL","IACX BITTER LAKES","M2","RPQ","R","60000","59000","7780","51220","N","N","N","Y",""
"500238","CENTRAL","IACX RED BLUFF","M2","RPQ","R","40000","45000","5154","39846","N","N","N","Y",""
"56935","CENTRAL","INTEGRATED SERVICES DP-CHAVES","MQ","DPQ","D","3100","3100","2621","479","Y","Y","N","Y",""
"79001","WEST TEXAS","INTREPID NORTH","MQ","DPQ","D",,"3800","285","3515","Y","N","N","N","Design Capacity unavailable"
"79030","WEST TEXAS","JV RANCH","M2","RPQ","R","100000","100000","35000","65000","Y","N","N","Y",""
"100737","CENTRAL","MARLAN PLANT","M2","RPQ","R","200000","200000","35472","164528","N","N","N","Y",""
"100716","PANHANDLE","NANNETTE GARCIA","MQ","DPQ","D","3000","3000","1","2999","N","N","N","Y",""
